date_found,category,source,title,company,location,comp,link
2026-08-02,Closer,Arbeitnow,Senior Solution Architect - EMEA North,Camunda,London,,https://www.arbeitnow.co.uk/jobs/companies/camunda/senior-solution-architect-emea-north-london-221453
2026-08-02,Closer,Jooble,Remote Sales Closer,GrabJobs,"Laredo, TX",$150k - $300k,https://jooble.org/jdp/-1372102312532294200
2026-08-02,Closer,JSearch,"Closer Needed – Remote, Fast-Paced, High-Energy",The Investors Edge,Remote,,https://www.indeed.com/viewjob?jk=95dd3d24e5b21d59
2026-08-02,Setter / SDR,Adzuna,Sales Development Representative,"Adecco US, Inc.","Milpitas, Santa Clara County",$122471-$122471,https://www.adzuna.com/land/ad/5822941484?se=Rt4uknqO8RGNzO_fQd9OLg&utm_medium=api&utm_source=3e941a8f&v=4F31C9C24E5677FF10B5B0FD5D8B56A06054897E
2026-08-02,Success (CSM / customer / client / onboarding),Arbeitnow,Technical Customer Success Manager - AMER,Camunda,Remote,,https://www.arbeitnow.co.uk/jobs/companies/camunda/remote-technical-customer-success-manager-amer-462705
2026-08-02,Success (CSM / customer / client / onboarding),JSearch,Sr. Customer Success Manager - Enterprise (West),Smartsheet,Remote,$112000-$142000,https://remotejobs.org/remote-jobs/sr-customer-success-manager-enterprise-west-smartsheet
2026-08-02,Success (CSM / customer / client / onboarding),JSearch,"Remote Senior Customer Success Manager, Strategic Accounts",Systems Mural,Remote,$154500-$193125,https://jooble.org/jdp/-8147341116715892420
2026-08-02,Success (CSM / customer / client / onboarding),Jooble,Enterprise Customer Success Manager (Remote),Vendavo,United States,$110k,https://jooble.org/jdp/1751981785007429296
2026-08-02,Success (CSM / customer / client / onboarding),JSearch,Customer Success Manager - Pacific Time,Webflow,Remote,,https://builtin.com/job/customer-success-manager-pacific-time/10466926
2026-08-02,VA / Social / Chat,Jooble,Virtual Assistant,"The Law Offices of Mario A. Garcia, P.A.","Orlando, FL",,https://jooble.org/jdp/6563801037197122234
