date_found,category,source,title,company,location,comp,link
2026-06-12,Closer,Workable,Remote High Ticket Closer (Inside Sales Representative),6 Figure Creative,Remote,,https://apply.workable.com/6figurecreative/j/A18C2D0C60/
2026-06-12,Closer,JobMatrix,High-Ticket Closer & Appointment Setter,AI Growth Marketing Agency,Remote,commission + bonus,https://jobmatrix.social-networking.me/job/high-ticket-closer-appointment-setter-remote-part-time-join-our-ai-growth-marketing-agency
2026-06-12,Closer,WorkinVirtual,Remote High-Ticket B2B Sales Closer,Amazon FBA Agency (via WorkinVirtual),Remote,$85k base + 4% / $20-25k mo,https://workinvirtual.com/job/remote-high-ticket-b2b-sales-closer-amazon-fba-agency-6-figure-commission/
2026-06-12,Closer,LinkedIn,Remote High Ticket Closer,B. Davis Consulting,Remote,,https://www.linkedin.com/jobs/view/remote-high-ticket-closer-at-b-davis-consulting-4412396956
2026-06-12,Closer,Wellfound,High Ticket Closer,ClientUp,Remote,"$7,500/unit + bonuses",https://wellfound.com/jobs/3075816-high-ticket-closer
2026-06-12,Closer,AllRemote,Remote High Ticket Sales Closer (Commission Only),Copy Sharks,Remote,,https://allremote.jobs/remote-job/copy-sharks-remote-high-ticket-sales-closer-commission-only-f59ce618-8278-42a2-a156-bbf3437bacee
2026-06-12,Closer,Workable,Full-Time High Ticket Closer,Impact Clients,Remote,,https://apply.workable.com/impact-clients/j/3F6F07E3F2/
2026-06-12,Closer,Workable,Sales Representative (High Ticket Closer),"Love Strategies, Inc.",Remote,,https://apply.workable.com/love-strategies-inc/j/33F3CF2E7D/
2026-06-12,Closer,Nomadic Closer,High-Ticket Closer,Nomadic Closer,Remote,warm inbound leads,https://bebee.com/us/jobs/high-ticket-closer-y-nomadic-closer--theirstack-670147349
2026-06-12,Closer,LinkedIn,Remote High-Ticket Closer (Warm Leads),Outsourced Doers,Remote,uncapped commission,https://www.linkedin.com/jobs/view/remote-high-ticket-closer-warm-leads-virtual-sales-uncapped-commission-at-outsourced-doers-4329725529
2026-06-12,Closer,SalesAgents.uk,Remote Sales Closer (Web Design Services),Sales Agents UK,Remote,,https://salesagents.uk/opportunities/remote-sales-closer-web-design-services/
2026-06-12,Closer,Workable,High-Ticket Closer / Senior Sales Director,Scale Virtually,Remote,,https://apply.workable.com/scale-virtually/j/2BDBB75C1C
2026-06-12,Closer,Workable,High-Ticket Sales Closer (Commission + Performance),Scale Virtually,Remote,,https://apply.workable.com/scale-virtually/j/1D85E7F8EF
